1.,0.,0.7071,0.,0.,0.,0.,0.
1.,1.,-.3536,1.0607,-0.3536,0.,0.,0.
1.,2.,0.0707,-.4743,0.3536,0.,0.,0.
1.,3.,-.101,-.378,.5303,0.,0.,0.
1.,4.,-.1768,-.3062,.6010,0.,0.,0.
2.,0.,-.5976,0.,0.,-1.069,0.,0.
2.,1.,.4183,.9354,-.2988,0.,0.,.7127
2.,2.,-.4183,.6124,.1281,0.,0.,-.3054
2.,3.,.1195,-.6547,.3415,0.,0.,0.0764
2.,4.,-.1707,-.5051,.4482,-.0085,.0627,-.0297
2.,5.,-.2988,-.4009,.4618,.004,.0815,-.1093
3.,0.,-.866,0.,0.,.2132,0.,0.
3.,1.,-.4949,.4629,-.6495,-.4467,-1.0446,.0355
3.,2.,.3464,.9487,-.1237,0.,0.,.6701
3.,3.,-.4330,.433,.2268,0.,0.,-.4467
3.,4.,.1443,-.3093,.3093,0.,0.,.1489
3.,5.,-.2062,-.5455,.3608,-.0203,.1343,-.0549
3.,6.,-.3608,-.427,.3346,.0097,.172,-.1946
4.,1.,-.7835,.2714,-.8234,.1453.,-.7549,.3017
4.,2.,-.4477,.5292,-.4701,-.3044,-.9004,-.0484
4.,3.,.3134,.9402,-.0448,0.,0.,.6088
4.,4.,-.4387,.3354,.2646,0.,0.,-.4981
4.,5.,.1595,-.7568,.2849,0.,0.,.1937
4.,6.,-.2279,-.5641,.2991,-.0298,.1844,-.0687
4.,7.,-.3989,-.4369,.2466,.0142,.2337,-.2363
5.,2.,-.736,.3291,-.6825,.1159,-.7774,.0802
5.,3.,-.4206,.5563,-.368,-.2428,-.803,-.0773
5.,4.,.2944,.9309,0.,0.,0.,.5666
5.,5.,-.4416,.2739,.2831,0.,0.,-.523
5.,6.,.1698,-.7783,.2669,0.,0.,.2241
5.,7.,-.2426,-.5742,.2548,-.0374,.221,-.0773
5.,8.,-.4246,-.4413,.1837,.0178,.2779,-.2592
6.,3.,-.7051,.3575,-.5915,.0997-.7581,-.0296
6.,4.,-.4029,.5698,-.3022,-.2088,-.7383,-.0902
6.,5.,.282,.9231,.0288,0.,0.,.537
6.,6.,-.4432,.2315,.2935,0.,0.,-.537
6.,7.,.1773,-.7928,.2533,0.,0.,.2461
6.,8.,-.2533,-.5803,.2216,-.0434,.2488,-.0829
6.,9.,-.4432,-.4432,.137,.0207,.3109,-.2727
